Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,SF311408,SF311411,SF311412,SF311413,SF311414,SF311415,SF311416,SF311418,SF311420,SF311421,SF311422,SF311423,SF311424,SF311425,SF311426,SF311427,SF311428,SF311429,SF311430,SF311431,SF311432,SF311433,SF311435,SF311436,SF311437,SF311438,SF311440,SF311441,SF311442,SF311443,SF311444,SF311445,SF311446,SF311447,SF311448,SF311449,SF311450,SF311451,SF311452,SF311453
01/08/2012,2065560499,1044702008,894529775.2,150172233,353702945,351512489,2190456,5123551112,1210689247,1133071932,1083908084,49163848,77617314.76,24518146.13,22856087.13,1662059,53099168.63,1108360679,738940687,728442917,10497770,5833695350,590707318.7,0,119436919.5,7348650360,18404589,17256917,1147672,17287192,9902823,7384369,10791600.83,1463574106,1462980346,0,593760,4897522,4882237,15285
01/09/2012,2076104428,1066325832,909473850.5,156851982,353232412,351216210,2016202,5091448045,1229028409,1151006005,1099349180,51656825,78022403.99,24651039.72,22878083.72,1772956,53371364.27,1107825045,678490163,667101115,11389048,5809012599,598918569.2,0,118645985.4,7415432734,25971876,24880153,1091723,23679383,14867051,8812332,10676894.55,1542636725,1542330925,0,305800,3455256,3440331,14925
01/10/2012,2051920924,1035884119,880132101.2,155752018,357323683,354742868,2580815,5187025104,1263412138,1184964689,1127832247,57132442,78447448.86,24913884.01,23128211.01,1785673,53533564.85,1119657879,752034163,741484197,10549966,5881732296,590237572.8,0,104469619.2,7516286880,30013531,28745326,1268205,15302648,5586347,9716301,10873728.01,1571605689,1571221429,0,384260,6758988,6651669,107319
01/11/2012,2134858980,1068830232,903812495.2,165017737,387265145,385028459,2236686,5190395258,1253376653,1174658762,1124990939,49667823,78717890.57,24586478.85,22840732.85,1745746,54131411.72,1077828272,724331354,716925828,7405526,5900524185,601351681.6,0,108777244.9,7590296811,19726501,18169847,1556654,24287834,300798,23987036,10865371.28,1623439489,1623270649,0,168840,11453431,11453431,0
01/12/2012,2278174708,1141731897,978120928.7,163610968,393230839,391060589,2170250,5306754531,1233888259,1154360544,1108483969,45876575,79527714.89,25369948,23529638,1840310,54157766.89,1092999662,701691901,694432640,7259261,6004541370,568600980.5,0,129185858.3,7814348863,42990067,41692828,1297239,42472364,33442400,9029964,10380773.73,1705216936,1704818386,0,398550,8747353,8747353,0
01/01/2013,2173269543,1072284196,905524368.1,166759828,395480226,392830804,2649422,5293968556,1244227847,1164225954,1120598723,43627231,80001892.34,25200938.14,23343319.14,1857619,54800954.2,1109005497,767465670,760879178,6586492,6034080966,611080100.6,0,129032309.6,7922843535,34766366,33167825,1598541,58096090,29712574,28383516,10136130.78,1773701623,1772900573,0,801050,12062359,12062359,0
01/02/2013,2154134555,1069416661,906617029.7,162799631,388634436,386146071,2488365,5297301366,1245464378,1165624007,1121481281,44142726,79840370.94,24620453.44,22850151.44,1770302,55219917.5,1115152711,782549722,772626918,9922804,5977103115,562338733.7,0,117463014.9,7887801951,23438724,22222498,1216226,57987289,31959886,26027403,11685147.69,1808078369,1807382779,0,695590,9509306,9509306,0
01/03/2013,2174771787,1080075103,903713450.9,176361652,393574784,391324488,2250296,5319918052,1248789871,1168762007,1126622711,42139296,80027864.07,24676351.77,22756672.77,1919679,55351512.3,1131947400,764408994,754304567,10104427,6041747488,625497072,0,96332364.57,8037338888,33246571,32218661,1027910,52631246,26191357,26439889,11569205.61,1888422596,1886065236,0,2357360,9721781,9626770,95011
01/04/2013,2142217471,1075074467,907048542.7,168025924,378558372,376173373,2384999,5285413686,1237045230,1155955797,1100694128,55261669,81089432.96,24346209.56,22794524.56,1551685,56743223.4,1161212508,744938477,734290989,10647488,5937202553,559063456.7,0,92725411.11,8024956180,33770819,32675499,1095320,61502567,36570872,24931695,10109176.8,1969255155,1964119125,0,5136030,13115909,13022463,93446
01/05/2013,2171176314,1077829382,912132375.4,165697007,395167157,392345210,2821947,5326721542,1229068344,1146838447,1090561792,56276655,82229897.21,24635016.11,23182258.11,1452758,57594881.1,1166937441,759539444,750226328,9313116,6054674798,604788453,0,123164802.5,8081487987,35412000,34157502,1254498,51018743,27936373,23082370,11211929.82,1913783998,1908360708,0,5423290,15386519,15287978,98541
01/06/2013,2211663709,1116478631,941178392.6,175300238,398963696,396572152,2391544,5469573182,1269318048,1185545721,1143756599,41789122,83772326.67,24901717.07,23431929.07,1469788,58870609.6,1189824757,798766669,787641486,11125183,6137825844,552484842.7,0,115767819.4,8032965483,38574104,37302722,1271382,41445746,18258542,23187204,11157545.63,1795880586,1790383696,0,5496890,8081657,7981349,100308
01/07/2013,2207369361,1132882978,956795666.3,176087312,384652089,382090984,2561105,5520228165,1265631631,1181102051,1139074396,42027655,84529579.47,25253197.17,23809792.17,1443405,59276382.3,1168951357,878275816,870832826,7442990,6177329062,565598383.3,0,91502513.57,8083107684,27156348,26393015,763333,45789852,21600087,24189765,10981241.45,1809510155,1804119145,0,5391010,12341026,8251500,4089526
01/08/2013,2239638324,1157101034,979472350.8,177628683,389299691,386512897,2786794,5554395124,1296516754,1210125322,1157992215,52133107,86391432.24,25170773.95,23677293.95,1493480,61220658.29,1159006871,859233175,851793607,7439568,6285791397,620892257.3,0,110504016,8166603099,26703519,25584293,1119226,57135799,31652812,25482987,11581958.23,1769408598,1764345958,0,5062640,15981828,11859121,4122707
01/09/2013,2245970278,1175372747,987997563.2,187375184,378990697,376640450,2350247,5534930381,1301053595,1213672822,1161328494,52344328,87380772.86,25497418.42,24013857.42,1483561,61883354.44,1162933922,824972587,817684649,7287938,6280561210,619494524.1,0,126136304.3,8238401883,25861892,24918760,943132,38207729,12521544,25686185,12262432.37,1871105522,1866095492,0,5010030,10403098,6025369,4377729
01/10/2013,2214060389,1136878507,960799517.3,176078990,378962232,376240136,2722096,5600967124,1342554990,1251576039,1185428458,66147581,90978950.93,25873772.88,24519019.88,1354753,65105178.05,1200842876,843508868,836520556,6988312,6421696745,697256348.5,0,123473272.5,8376027734,28635492,27578694,1056798,45781425,21448666,24332759,12409223.66,1854200290,1848723280,0,5477010,13304558,8958316,4346242
01/11/2013,2344972158,1199830700,1007683958,192146742,423376430,420915684,2460746,5698579403,1343763904,1251483371,1193500595,57982776,92280532.96,26602254.54,25179520.54,1422734,65678278.42,1183455886,826387454,818998222,7389232,6538246290,707134509.6,0,132532378.1,8510125840,27815131,27029460,785671,30774530,7539778,23234752,12033034.1,1890545145,1885272065,0,5273080,10711710,6482380,4229330
